"geoid_st","cnt_total_locaction","cnt_25_3_past","cnt_underserved_past","cnt_underserved_not_dsl","cnt_underserved_not_wireless","cnt_underseved_not_dsl_wireless"
"01","2176002","1879566","78176","83428","93735","99335"
"02","281309","195771","22844","24209","23407","24772"
"04","2696640","2554329","109432","111689","177683","180914"
"05","1359311","1194851","64638","69544","99093","104883"
"06","10224300","9927978","147946","152880","347493","354499"
"08","1968886","1833772","88608","90980","126784","129748"
"09","1091195","1084526","1289","1289","2295","2295"
"10","401523","399984","9207","9207","10641","10641"
"11","123208","123062","5","5","85","85"
"12","7426863","7168327","122914","141878","181769","203317"
"13","3796648","3542478","100898","128679","127093","157912"
"15","308967","299236","837","837","1005","1005"
"16","738037","648537","63772","65078","97663","99118"
"17","4166670","3979440","90364","92960","220196","224094"
"18","2713360","2553421","58375","60942","178625","181808"
"19","1372819","1305618","63830","78835","126788","152539"
"20","1204229","1135320","47106","48057","103332","104314"
"21","1851005","1647795","64020","79849","92528","109235"
"22","1875873","1625228","72988","74118","87399","88910"
"23","631930","596373","39578","40549","40694","41680"
"24","1857192","1820787","19537","19537","27848","27848"
"25","1954671","1943832","4140","4143","7982","7985"
"26","4076669","3758689","87029","88456","214950","217208"
"27","2098318","1972370","70500","73373","156615","160317"
"28","1319976","1098358","40605","43212","48954","51730"
"29","2509891","2186003","68915","68915","185792","185792"
"30","488043","392959","47088","47103","56840","56858"
"31","797960","747616","29865","34256","76549","86794"
"32","983845","941584","11247","15668","21891","27481"
"33","518391","495576","10903","11072","12131","12301"
"34","2578933","2562973","2828","2831","5536","5546"
"35","860769","759721","59995","64039","86433","93094"
"36","4715750","4610809","13033","14210","22372","23621"
"37","4273900","3998845","135892","141758","160500","166916"
"38","348661","343740","1428","1431","5588","5592"
"39","4515985","4340757","87118","90055","240416","245235"
"40","1698280","1562522","104337","118569","176441","192457"
"41","1504496","1392868","61723","63143","74598","76116"
"42","4848216","4613596","53008","59970","82673","90209"
"44","339030","336912","382","382","1733","1733"
"45","2153216","2067123","55820","57932","72351","74961"
"46","399171","376429","12008","13220","15344","16563"
"47","2730981","2579120","44527","47047","66882","69566"
"48","9844791","9216827","233210","253384","688782","719993"
"49","1018752","975517","20438","21132","43361","44266"
"50","285333","254539","30498","31284","31533","32323"
"51","2920197","2589055","67255","68204","86686","87639"
"53","2540953","2325930","76110","83471","107282","115629"
"54","906872","696439","28803","28807","33964","33968"
"55","2313423","2089796","198104","203053","233849","239087"
"56","262998","223246","20940","21439","39376","40011"
"60","8794","8794","7032","7032","7032","7032"
"66","36960","36799","18792","33513","18792","33513"
"69","9760","9714","12","8005","12","8005"
"72","1179988","1107156","32119","32119","51131","51131"
"78","32285","31754","0","0","0","0"
